,R,G,B,(Sample),R,G,B,(Corrected),,Absorption = -log(I/I_0),,R,G,B,,R,G,B
O1,226,224,174,,241,235,175,,,,,0.007619397,0.007686829,0.069080919,,0,0.001844141,0.075025286
O2,223,220,144,,242,231,144,,,,,0.013422973,0.015512166,0.151267675,,-0.001798323,0.009300023,0.159700843
O3,222,216,115,,231,222,112,,,,,0.015374862,0.023481096,0.248932327,,0.018405063,0.026559029,0.268845312
O4,222,214,89,,232,221,88,,,,,0.015374862,0.027521074,0.360240161,,0.016529058,0.028519729,0.373580663
O5,225,215,66,,237,222,66,,,,,0.009545318,0.025496387,0.490086232,,0.007268697,0.026559029,0.498519399
O6,222,210,16,,235,218,8,,,,,0.015374862,0.035715552,1.105510185,,0.01094918,0.034455509,1.414973348
O7,221,210,8,,233,218,0,-2,,,,0.017335562,0.035715552,1.40654018,,0.014661122,0.034455509,#NUM!
O8,224,212,2,,234,217,0,-9,,,,0.011479818,0.031598986,2.008600172,,0.012801185,0.036452269,#NUM!
O9,222,207,1,,234,214,0,-12,,,,0.015374862,0.041964502,2.309630167,,0.012801185,0.04249823,#NUM!
O10,221,204,1,,232,212,0,-24,,,,0.017335562,0.04830468,2.309630167,,0.016529058,0.046576142,#NUM!
O11,221,206,1,,232,213,0,-36,,,,0.017335562,0.044067627,2.309630167,,0.016529058,0.0445324,#NUM!
O12,220,205,1,,229,210,0,-55,,,,0.019305155,0.046180986,2.309630167,,0.02218156,0.050692708,#NUM!
,,,,,,,,,,,,,,,,,,
B1,214,203,187,,232,216,191,,,,,0.031314063,0.050438809,0.037788561,,0.016529058,0.038458252,0.037029968
B2,215,192,171,,228,201,174,,,,,0.029289376,0.074633618,0.076634057,,0.024082196,0.069715946,0.077514087
B3,212,176,155,,219,179,156,,,,,0.035391975,0.112422179,0.119298469,,0.041572928,0.120058972,0.124938737
B4,212,165,142,,220,167,142,,,,,0.035391975,0.140450903,0.157341823,,0.039594362,0.150195532,0.165774991
B5,205,147,124,,213,148,122,,,,,0.049973975,0.190617512,0.216208482,,0.053637439,0.202650288,0.231703504
B6,212,147,125,,219,147,123,,,,,0.035391975,0.190617512,0.212720154,,0.041572928,0.205594668,0.228158224
B7,207,125,108,,221,130,109,,,,,0.045757491,0.261024834,0.276206412,,0.037624769,0.258968651,0.280636837
B8,208,120,102,,220,124,102,,,,,0.043664501,0.278753601,0.301029996,,0.039594362,0.279490318,0.309463163
B9,204,109,92,,218,111,92,,,,,0.052097669,0.320508349,0.34584234,,0.043560549,0.327589024,0.354275508
B10,205,103,87,,217,105,86,,,,,0.049973975,0.345097622,0.370110915,,0.045557309,0.351722704,0.383564884
B11,199,87,76,,215,87,75,,,,,0.06287476,0.418415594,0.428816575,,0.049578583,0.43339275,0.443002072
B12,191,82,72,,206,82,70,,,,,0.080694469,0.444120995,0.452297671,,0.068149822,0.459098151,0.472965295
B13,186,70,61,,194,60,53,,,,,0.092214892,0.512836807,0.524300332,,0.094215313,0.594760753,0.593787465
B14,175,57,49,,184,52,45,,,,,0.118689787,0.602059991,0.619434087,,0.11719922,0.656908659,0.664850821
,,,,,,,,,,,,,,,,,,
Sf1,221,217,199,,234,227,202,,,,,0.017335562,0.021475113,0.010777091,,0.012801185,0.016886146,0.012711966
Sf2,220,211,194,,232,222,199,,,,,0.019305155,0.033652392,0.021828437,,0.016529058,0.026559029,0.019210259
Sf3,225,210,192,,231,216,193,,,,,0.009545318,0.035715552,0.026328939,,0.018405063,0.038458252,0.032506026
Sf4,220,202,182,,230,210,185,,,,,0.019305155,0.052583478,0.049558779,,0.020289207,0.050692708,0.050891607
Sf5,222,204,184,,232,210,186,,,,,0.015374862,0.04830468,0.044812344,,0.016529058,0.050692708,0.048550391
Sf6,218,191,171,,236,204,177,,,,,0.023271342,0.07690148,0.076634057,,0.00910504,0.063281836,0.070090069
Sf7,225,191,169,,233,197,171,,,,,0.009545318,0.07690148,0.081743463,,0.014661122,0.078445777,0.085067225
Sf8,222,184,163,,231,191,166,,,,,0.015374862,0.093117024,0.097442563,,0.018405063,0.091878636,0.097955247
Sf9,222,179,160,,237,187,163,,,,,0.015374862,0.105081816,0.105510185,,0.007268697,0.101070396,0.105875731
Sf10,220,174,153,,235,181,155,,,,,0.019305155,0.117385599,0.124938737,,0.01094918,0.115233428,0.127731637
Sf11,224,172,150,,239,182,155,,,,,0.011479818,0.1224064,0.133538908,,0.003619142,0.112840615,0.127731637
Sf12,222,167,143,,231,172,144,,,,,0.015374862,0.135218376,0.15429413,,0.018405063,0.137383556,0.159700843
Sf13,221,166,138,,232,170,139,,,,,0.017335562,0.137826759,0.169751081,,0.016529058,0.142463082,0.175048535
Sf14,217,154,127,,229,159,128,,,,,0.025268102,0.170414126,0.205826446,,0.02218156,0.171514879,0.210853365
,,,,,,,,,,,,,,,,,,
B&S1,204,110,91,,219,115,92,,,,,,,,,,,
B&S2,179,53,43,,191,51,41,,,,,,,,,,,
B&S3,179,55,47,,193,56,45,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
O&B2,204,128,51,,218,132,49,,,,,,,,,,,
O&B3,206,148,2,,227,158,-1,,,,,,,,,,,
O&B4,173,53,4,,183,53,-5,,,,,,,,,,,
O&B5,162,51,4,,171,59,-26,,,,,,,,,,,
O&B6,199,129,47,,215,136,46,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
H2O,230,228,204,,241,236,208,,,,,,,,,,,